Total_Distance_Rank,Top_Speed_Rank,Player,Team,Position,Top_Speed_kmh,High_Speed_Running,Sprints,Total_Distance_m
1,552,Rodri,ESP,MF,31.5,1294.0,318.0,96233.71
2,735,Alexis Mac Allister,ARG,MF,30.2,1024.0,277.0,90561.77
3,210,Marc Cucurella,ESP,DF,33.33,907.0,363.0,87986.05
4,382,Pau Cubarsi,ESP,DF,32.39,816.0,263.0,85956.03
5,62,Michael Olise,FRA,FW,34.65,1054.0,388.0,84499.58
6,350,Enzo Fernandez,ARG,MF,32.56,1054.0,332.0,82828.98
7,265,Aymeric Laporte,ESP,DF,33.02,695.0,204.0,79572.1
8,785,Elliot Anderson,ENG,MF,29.88,1006.0,282.0,78697.97
9,390,Harry Kane,ENG,FW,32.36,859.0,260.0,78564.69
10,828,Remo Freuler,SUI,MF,29.44,1001.0,213.0,73750.57
11,19,Dayot Upamecano,FRA,DF,35.39,598.0,228.0,73611.38
12,383,Jude Bellingham,ENG,MF,32.38,947.0,403.0,73254.75
13,866,Granit Xhaka,SUI,MF,28.86,1062.0,210.0,72775.82
14,37,Julian Alvarez,ARG,FW,34.98,787.0,340.0,71340.54
15,661,Adrien Rabiot,FRA,MF,30.84,816.0,248.0,71263.06
16,283,Marc Guehi,ENG,DF,32.9,660.0,203.0,70981.57
17,102,Neil El Aynaoui,MAR,MF,34.12,836.0,276.0,70474.7
18,312,Jules Kounde,FRA,DF,32.76,834.0,323.0,69981.25
19,357,Ezri Konsa,ENG,DF,32.51,666.0,195.0,69849.14
20,658,Brandon Mechele,BEL,DF,30.85,806.0,227.0,68409.01
21,712,Pedri,ESP,MF,30.45,976.0,291.0,68013.79
22,706,Ousmane Dembele,FRA,FW,30.51,817.0,274.0,67502.9
23,259,Declan Rice,ENG,MF,33.06,709.0,233.0,66754.62
24,1,Kylian Mbappe,FRA,FW,37.61,529.0,250.0,66726.57
25,429,Mikel Oyarzabal,ESP,FW,32.2,745.0,319.0,65551.23
26,340,Timothy Castagne,BEL,DF,32.62,844.0,335.0,65175.17
27,669,Lionel Messi,ARG,FW,30.77,527.0,204.0,64419.37
28,280,Lamine Yamal,ESP,FW,32.92,559.0,262.0,64219.36
29,18,Achraf Hakimi,MAR,DF,35.48,624.0,296.0,63750.68
30,360,Nico Elvedi,SUI,DF,32.49,611.0,199.0,63204.39
31,245,Leandro Trossard,BEL,FW,33.17,802.0,276.0,63148.76
32,254,Sander Berge,NOR,MF,33.1,770.0,192.0,63083.25
33,246,Pedro Porro,ESP,DF,33.17,631.0,283.0,62981.89
34,364,Martin Odegaard,NOR,MF,32.47,878.0,302.0,62928.93
35,189,Manuel Akanji,SUI,DF,33.47,631.0,187.0,62661.14
36,584,Lisandro Martinez,ARG,DF,31.35,485.0,167.0,62187.63
37,794,Youri Tielemans,BEL,MF,29.8,862.0,256.0,61812.67
38,610,Andres Cubas,PAR,MF,31.19,756.0,205.0,60748.96
39,427,Patrick Berg,NOR,MF,32.21,797.0,263.0,59224.02
40,426,Dani Olmo,ESP,FW,32.21,849.0,266.0,57942.66
41,163,Nahuel Molina,ARG,DF,33.66,608.0,265.0,57871.18
42,396,Cristian Romero,ARG,DF,32.35,415.0,108.0,57671.78
43,393,Weston Mckennie,USA,MF,32.36,771.0,236.0,57573.6
44,589,Gustavo Puerta,COL,DF,31.33,742.0,195.0,57392.35
45,263,Marawan Attia,EGY,MF,33.03,829.0,260.0,56580.27
46,113,Alex Baena,ESP,MF,34.04,626.0,264.0,55400.88
47,631,Ricardo Rodriguez,SUI,DF,31.06,541.0,200.0,55242.44
48,33,Kristoffer Ajer,NOR,DF,35.09,480.0,150.0,54843.56
49,864,Bruno Guimaraes,BRA,MF,28.91,739.0,158.0,54744.12
50,435,Rodrigo De Paul,ARG,MF,32.18,573.0,286.0,54526.53
51,92,Nico Oreilly,ENG,DF,34.24,596.0,236.0,54499.2
52,745,Leandro Paredes,ARG,MF,30.15,566.0,148.0,54268.14
53,297,Maxim De Cuyper,BEL,DF,32.86,653.0,234.0,54016.4
54,34,Alistair Johnston,CAN,DF,35.08,683.0,264.0,53458.13
55,224,Azzedine Ounahi,MAR,MF,33.27,654.0,266.0,53453.19
56,31,Luis Diaz,COL,FW,35.13,510.0,248.0,52994.8
57,626,Nicolas Tagliafico,ARG,DF,31.1,542.0,191.0,52897.74
58,604,Lucas Digne,FRA,DF,31.21,588.0,211.0,52627.74
59,800,Stephen Eustaquio,CAN,MF,29.76,897.0,210.0,52496.91
60,520,Douglas Santos,BRA,DF,31.7,642.0,220.0,52462.91
61,394,Jonathan David,CAN,FW,32.35,667.0,256.0,52214.28
62,609,Mohamed Hany,EGY,DF,31.19,516.0,201.0,52140.55
63,256,Torbjorn Heggem,NOR,DF,33.07,475.0,141.0,51748.22
64,194,Yasser Ibrahim,EGY,DF,33.44,514.0,181.0,51489.36
65,690,Joao Neves,POR,MF,30.64,638.0,197.0,51136.79
66,64,Bilal El Khannouss,MAR,MF,34.62,554.0,226.0,50933.34
67,517,Gabriel Magalhaes,BRA,DF,31.73,500.0,122.0,50836.58
68,235,Roberto Alvarado,MEX,FW,33.21,567.0,185.0,50296.79
69,471,Bruno Fernandes,POR,MF,32.0,572.0,219.0,50225.1
70,386,Renato Veiga,POR,DF,32.38,498.0,145.0,49867.82
71,358,Jefferson Lerma,COL,MF,32.5,713.0,170.0,49541.65
72,100,William Saliba,FRA,DF,34.12,407.0,157.0,49524.88
73,53,Breel Embolo,SUI,FW,34.75,468.0,235.0,49484.27
74,5,Erling Haaland,NOR,FW,36.52,375.0,172.0,49468.92
75,139,Marquinhos,BRA,DF,33.79,453.0,141.0,49331.59
76,173,Mohamed Salah,EGY,FW,33.6,493.0,201.0,49162.03
77,368,Mostafa Zico,EGY,MF,32.45,726.0,225.0,49154.47
78,188,Desire Doue,FRA,FW,33.5,587.0,269.0,49084.57
79,399,Gustavo Gomez,PAR,DF,32.34,342.0,109.0,49082.71
80,258,Brahim Diaz,MAR,FW,33.07,524.0,225.0,49004.01
81,123,Juan Jose Caceres,PAR,DF,33.94,521.0,193.0,48658.8
82,205,David Moller Wolfe,NOR,DF,33.35,520.0,216.0,48590.19
83,149,Davinson Sanchez,COL,DF,33.76,441.0,145.0,48497.14
84,634,Matias Galarza,PAR,MF,31.05,560.0,237.0,48496.58
85,787,Unai Simon,ESP,GK,29.87,143.0,44.0,48090.58
86,330,Issa Diop,MAR,DF,32.66,413.0,102.0,48036.09
87,129,Noussair Mazraoui,MAR,DF,33.87,396.0,146.0,48034.34
88,99,Vinicius Junior,BRA,FW,34.14,514.0,253.0,47848.57
89,540,Daniel Munoz,COL,DF,31.57,598.0,221.0,47613.35
90,545,Ayyoub Bouaddi,MAR,MF,31.55,586.0,166.0,47487.66
91,308,Aiden Oneill,AUS,MF,32.78,648.0,186.0,47323.13
92,67,Alex Freeman,USA,DF,34.58,545.0,179.0,47281.6
93,268,Julian Quinones,MEX,FW,33.01,581.0,251.0,47274.89
94,169,Morgan Rogers,ENG,MF,33.63,608.0,227.0,47046.38
95,74,Ismaila Sarr,SEN,FW,34.47,556.0,216.0,46719.89
96,434,Kevin De Bruyne,BEL,MF,32.19,573.0,204.0,46612.9
97,264,Florian Wirtz,GER,MF,33.03,653.0,229.0,46415.88
98,579,Vitinha,POR,MF,31.38,559.0,174.0,46256.34
99,127,Julio Enciso,PAR,FW,33.89,538.0,237.0,46088.56
100,22,Richie Laryea,CAN,DF,35.23,464.0,231.0,46053.79
